2025-08-26 13:50:54,336 - WARNING - watch_tickers failed: Connection closed by remote server, closing code 1006
Traceback (most recent call last):
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/crypto_bot/utils/symbol_pre_filter.py", line 225, in _refresh_tickers
    data = await exchange.watch_tickers(to_fetch)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 665, in watch_tickers
    ticker = await self.watch_multi_helper('ticker', 'ticker', symbols, None, params)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 1483, in watch_multi_helper
    return await self.watch_multiple(url, messageHashes, request, messageHashes, subscriptionArgs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ccxt.base.errors.NetworkError: Connection closed by remote server, closing code 1006
2025-08-26 13:51:33,782 - INFO - APENFT/USD: vol=6066.87 chg=2.22% spr=2.37%
2025-08-26 13:51:33,782 - INFO - APE/USD: vol=54111.41 chg=4.43% spr=0.05%
2025-08-26 13:51:33,782 - INFO - APE/USDT: vol=7126.48 chg=1.52% spr=0.21%
2025-08-26 13:51:33,782 - INFO - API3/EUR: vol=7775.54 chg=-1.23% spr=0.10%
2025-08-26 13:51:33,782 - INFO - API3/USD: vol=139654.04 chg=-3.50% spr=0.08%
2025-08-26 13:51:33,782 - INFO - APT/EUR: vol=74776.88 chg=2.20% spr=0.13%
2025-08-26 13:51:33,782 - INFO - APT/USD: vol=352925.63 chg=3.22% spr=0.00%
2025-08-26 13:51:33,782 - INFO - APU/EUR: vol=2208.50 chg=5.53% spr=5.61%
2025-08-26 13:51:33,782 - INFO - APU/USD: vol=61910.57 chg=0.00% spr=0.10%
2025-08-26 13:51:33,782 - INFO - ARB/EUR: vol=127859.44 chg=2.70% spr=0.09%
2025-08-26 13:51:33,782 - INFO - ARB/USD: vol=2501302.71 chg=2.84% spr=0.02%
2025-08-26 13:51:33,782 - INFO - ARC/EUR: vol=113.83 chg=-2.45% spr=5.94%
2025-08-26 13:51:33,782 - INFO - ARC/USD: vol=727.19 chg=-1.48% spr=2.60%
2025-08-26 13:51:33,782 - INFO - AR/EUR: vol=11657.06 chg=3.51% spr=0.36%
2025-08-26 13:51:33,782 - INFO - ARKM/EUR: vol=8436.57 chg=4.69% spr=0.09%
2025-08-26 13:51:33,782 - INFO - ARKM/USD: vol=32264.90 chg=5.22% spr=0.10%
2025-08-26 13:51:33,782 - INFO - ARPA/EUR: vol=35.41 chg=-3.29% spr=0.37%
2025-08-26 13:51:33,782 - INFO - ARPA/USD: vol=1301.50 chg=4.11% spr=0.27%
2025-08-26 13:51:33,782 - INFO - AR/USD: vol=44303.27 chg=3.65% spr=0.31%
2025-08-26 13:51:33,782 - INFO - ASRR/EUR: vol=807.42 chg=11.77% spr=10.80%
2025-08-26 13:51:33,782 - INFO - ASRR/USD: vol=1126.47 chg=2.04% spr=0.62%
